id,name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,availability_365,avg_rating,crime_level,crime_incidents_count
36873357,Lovely Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,157,4.5,2.1413373860182396,658
37067078,Entire 1 Bedroom West Hollywood Big Balcony & gym!,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,125,343,4.0,2.1413373860182396,658
37242761,Phenomenal Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,143,4.0,2.1413373860182396,658
37243337,Charming Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,148,2.0,2.1413373860182396,658
37504352,Heart of Hollywood on Sunset Blvd +Private Parking,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,117,153,3.556,2.1413373860182396,658
37563613,1 bdrm 1 bath Sunset Strip,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,129,7,3.6,2.1413373860182396,658
37567194,Glamorous Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,116,3.5,2.1413373860182396,658
37743734,Sensational Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,163,4.0,2.1413373860182396,658
37910822,Inviting Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,150,3.5,2.1413373860182396,658
37917042,NEW ! Cozy Chanel Studio in the heart of Hollywood,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,120,90,3.35,2.1413373860182396,658
37936453,Outstanding Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,168,5.0,2.1413373860182396,658
38096024,Vibrant Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,125,3.667,2.1413373860182396,658
38190138,Classic Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,151,4.0,2.1413373860182396,658
38190300,Elaborate Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,109,3.667,2.1413373860182396,658
38324481,Rare Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,146,3.333,2.1413373860182396,658
38483994,Chic Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,122,4.0,2.1413373860182396,658
38577401,Entire Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,142,4.0,2.1413373860182396,658
38577740,Marvelous Hollywood One Bedroom - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,153,3.4,2.1413373860182396,658
38901190,Private Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,109,3.0,2.1413373860182396,658
38927117,Studio in Hollywood - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,161,4.0,2.1413373860182396,658
39030016,Handsome Hollywood One Bedroom - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,159,4.0,2.1413373860182396,658
39032142,Tidy Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,157,4.5,2.1413373860182396,658
39207530,"Bohemian, Modern & Spacious 1BD Hollywood Hills!",City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,127,158,4.0,2.1413373860182396,658
39530172,Unit 19 BEAUTIFUL STUDIO - RUNYON CANYON/HOLLYWOOD,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,125,333,3.5,2.1413373860182396,658
39759063,Amazing Cozy Studio In Hollywood,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,92,321,3.35,2.1413373860182396,658
39768744,NICE 2 STORY TOWNHOUSE - WEST HOLLYWOOD,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,178,126,3.727,2.1413373860182396,658
