listing_id,avg_rating,neighbourhood,latitude,longitude,room_type,price,availability_365,avg_severity_level,count
394904,3.75,Santa Monica,34,-118.48,1,525,302,2.380645161,155
395305,3.625,Glassell Park,34.13,-118.24,0,85,297,2.2,5
400478,4,Harvard Heights,34.05,-118.31,3,35,365,2.23,600
400940,3.666666667,Del Rey,33.99,-118.43,0,141,347,2.204545455,88
401549,4,Studio City,34.15,-118.4,1,70,365,1.902439024,82
402053,3.333333333,Woodland Hills,34.17,-118.65,0,79,289,2,23
409740,4,Hollywood Hills West,34.12,-118.36,0,695,339,2.375,24
413749,3.4375,Echo Park,34.08,-118.27,0,130,365,2.244755245,286
431476,3.6,Hollywood,34.1,-118.32,0,135,282,2.413073713,719
435277,4,Beverly Grove,34.07,-118.38,1,78,360,2.171806167,227
446757,3.888888889,Hollywood,34.1,-118.32,0,174,349,2.413073713,719
453527,3,Venice,34,-118.47,0,118,269,2.308510638,282
454265,2,Downtown,34.04,-118.25,0,125,283,2.323415265,1546
455114,4,Hollywood Hills,34.11,-118.33,1,85,352,2.203463203,231
462726,3.25,Sherman Oaks,34.16,-118.46,0,76,54,1.989304813,187
463025,3.6,Del Rey,33.99,-118.42,1,93,111,2.170731707,164
463903,4,Echo Park,34.07,-118.26,0,339,364,2.395189003,291
472748,3.444444444,Venice,33.99,-118.47,0,279,106,2.301724138,580
490221,4.166666667,Brentwood,34.06,-118.49,0,550,41,1.888888889,9
496208,4,Inglewood,33.98,-118.35,1,45,343,2.125,8
498014,3.333333333,Venice,34,-118.47,1,99,89,2.308510638,282
498342,3.571428571,Canoga Park,34.21,-118.61,1,85,344,2.423076923,104
504631,3.666666667,Lake Balboa,34.2,-118.5,0,62,297,2.34375,64
520181,3.545454545,Hancock Park,34.08,-118.33,0,176,339,2.121212121,132
523997,2.5,Koreatown,34.06,-118.29,1,45,297,2.383108935,817
525586,3.3,Downtown,34.05,-118.24,0,115,48,2.36643026,846
526012,3.473684211,Venice,33.99,-118.46,0,240,275,2.14354067,209
530881,3.5,Los Feliz,34.12,-118.27,1,88,349,2.123287671,73
531249,3,Santa Monica,34.04,-118.47,0,80,353,1.993288591,149
531327,3.5,Mid-Wilshire,34.06,-118.35,1,96,365,2.072507553,331
533646,3.65625,Hollywood,34.1,-118.33,1,65,339,2.32360515,1165
535050,3.5,West Hollywood,34.09,-118.39,0,471,288,2.230769231,13
537363,3.333333333,Highland Park,34.12,-118.19,0,160,174,2.419354839,155
542016,3.56,Venice,34,-118.45,1,84,345,2.067226891,119
543730,3.5,East Hollywood,34.08,-118.3,1,95,342,2.354114713,401
546663,2,Rancho Park,34.03,-118.43,0,400,252,2.27672956,159
562254,3.428571429,Venice,33.98,-118.47,0,170,48,2.3125,192
562348,3.5,Venice,33.98,-118.46,0,300,315,2.076086957,92
564102,3.294117647,Venice,34,-118.47,0,101,343,2.308510638,282
565873,3.333333333,Venice,33.98,-118.47,0,266,313,2.3125,192
566016,3.65,Hollywood Hills West,34.12,-118.37,0,881,29,2.476190476,21
566195,3.310344828,Lake Balboa,34.19,-118.5,0,126,291,2.290697674,86
573730,3.5,Silver Lake,34.09,-118.28,0,100,262,2.116,250
578100,3.666666667,Mar Vista,34.01,-118.44,0,69,326,2.378378378,74
579927,3.714285714,Venice,33.98,-118.47,0,450,103,2.3125,192
580131,3.448979592,Culver City,34.01,-118.42,1,135,166,2.051282051,117
581649,3.75,Woodland Hills,34.17,-118.57,0,444,283,2.338129496,139
586709,3.625,Echo Park,34.09,-118.25,1,112,63,2.333333333,93
589056,3,Hollywood,34.1,-118.34,0,295,350,2.34595163,951
594777,2,Lincoln Heights,34.08,-118.21,0,120,240,2.303571429,168
609376,3.545454545,Hollywood Hills,34.13,-118.34,0,123,1,1.773333333,75
611542,4,Hollywood Hills West,34.11,-118.38,0,349,218,1.918918919,37
611841,3.25,Hollywood Hills,34.12,-118.32,0,170,343,1.876712329,73
622766,3,West Hollywood,34.09,-118.36,0,134,7,2.169230769,65
634133,3.514285714,Mid-Wilshire,34.05,-118.34,0,125,139,2.015665796,383
636629,4,Lincoln Heights,34.08,-118.21,0,36,326,2.303571429,168
639363,4,Mar Vista,34,-118.44,0,257,182,2.175531915,188
643866,3.714285714,Westchester,33.97,-118.43,1,132,76,2.043478261,92
644008,3.25,Hollywood,34.1,-118.33,1,65,365,2.32360515,1165
644009,3.315789474,Hollywood,34.1,-118.33,1,65,365,2.32360515,1165
646570,3.666666667,Echo Park,34.07,-118.26,0,139,351,2.395189003,291
649822,3.96,Venice,33.98,-118.46,0,299,64,2.076086957,92
658312,3.566666667,South Pasadena,34.11,-118.17,1,85,338,2,5
661903,3.588235294,Woodland Hills,34.16,-118.62,1,66,301,1.75,40
662171,3.307692308,Sawtelle,34.03,-118.44,0,306,119,2.099378882,161
668111,3.333333333,Venice,34,-118.48,0,133,1,2.380645161,155
669590,3.444444444,Hollywood,34.1,-118.33,1,65,361,2.32360515,1165
669808,3,West Los Angeles,34.05,-118.44,0,75,323,2.156908665,427
669825,4.5,West Los Angeles,34.05,-118.44,0,79,328,2.156908665,427
669955,4,Sherman Oaks,34.16,-118.47,1,135,251,2.168067227,119
674784,3.6,Valley Village,34.16,-118.4,0,400,64,2.120879121,182
682179,2,Hancock Park,34.08,-118.33,3,45,365,2.121212121,132
686348,4,Echo Park,34.08,-118.25,1,39,325,2.069767442,86
688583,3.611111111,Silver Lake,34.09,-118.27,0,85,262,2.147928994,169
693634,3.866666667,Del Rey,33.98,-118.43,0,200,272,2.022727273,44
698357,3.52173913,West Hollywood,34.09,-118.38,0,113,47,2.09375,32
700798,4,Silver Lake,34.09,-118.26,0,134,365,2.106870229,131
713490,3.75,Silver Lake,34.08,-118.28,0,135,359,2.302419355,248
719115,3.5,Panorama City,34.22,-118.44,1,48,295,2.449612403,129
720051,3,Mid-City,34.04,-118.36,3,75,283,2.383783784,185
722361,3.166666667,Mid-City,34.04,-118.35,1,67,365,2.413934426,244
723628,3.65,Venice,33.99,-118.48,0,195,14,2.393229167,384
728759,3.5,Mid-City,34.03,-118.37,0,163,300,2.132450331,151
729486,3,Playa del Rey,33.96,-118.44,0,200,192,2.028846154,104
732392,3.75,Beverly Hills,34.07,-118.38,0,133,315,2.171806167,227
733051,4,Venice,34,-118.47,0,145,43,2.308510638,282
733222,4,Venice,33.98,-118.46,0,345,330,2.076086957,92
734823,3,Venice,33.98,-118.46,0,99,206,2.076086957,92
737112,3.564102564,Venice,34,-118.47,1,85,314,2.308510638,282
738427,3.5,Hollywood,34.09,-118.33,0,117,313,2.374257426,505
745011,4,North Hollywood,34.17,-118.36,0,128,313,2.32,100
745094,3.615384615,Hollywood Hills,34.11,-118.34,0,109,326,2.178294574,129
746115,3.777777778,Hollywood Hills West,34.1,-118.37,0,220,256,2.325581395,86
746876,4,Venice,33.98,-118.46,0,250,196,2.076086957,92
752388,3.777777778,Venice,33.98,-118.47,0,128,283,2.3125,192
752540,3.709677419,Woodland Hills,34.18,-118.58,0,464,357,1.948275862,58
754012,4,Playa Vista,33.97,-118.43,0,185,89,2.043478261,92
755774,4,Venice,33.98,-118.46,0,300,291,2.076086957,92
761630,3,Culver City,34.01,-118.41,0,275,322,2,3
763336,3.59375,Venice,33.99,-118.45,0,121,327,2.419871795,312
764088,3,Venice,33.99,-118.47,1,59,364,2.301724138,580
776948,3.666666667,Venice,33.98,-118.46,0,295,343,2.076086957,92
781722,3.4,Hollywood,34.1,-118.36,0,101,49,2.406698565,209
783158,3.2,Hollywood,34.1,-118.31,0,250,326,2.330016584,603
784086,4,Hollywood Hills West,34.11,-118.37,0,450,284,2.636363636,44
789965,4,Woodland Hills,34.15,-118.6,1,164,364,2.023809524,42
792198,3.714285714,Silver Lake,34.08,-118.27,0,193,259,2.244755245,286
797642,3.333333333,Downtown,34.05,-118.24,1,45,363,2.36643026,846
797694,3.5,Downtown,34.05,-118.24,1,43,345,2.36643026,846
798535,3.739130435,Silver Lake,34.11,-118.26,0,86,312,2.16,75
808721,4.333333333,Downtown,34.05,-118.24,1,45,359,2.36643026,846
